lambda0 k theta mu0 sigma alpha epsilon weight
0.910406 518 0.00168299 0.0212051 0.317558 -0.607827 42.9333 7.29356e-05
0.896165 504 0.00176356 0.0886586 0.336038 -0.656914 10.108 8.26502e-05
1.02726 522 0.00194939 0.0505211 0.337513 -0.683747 20.3332 7.75653e-05
0.970072 510 0.00190713 0.0954314 0.316534 -0.640269 10.1651 8.44567e-05
1.10671 541 0.00199702 0.00954255 0.359044 -0.629277 115.976 7.44317e-05
0.902703 489 0.00180839 0.0335875 0.364483 -0.727864 26.8761 7.75653e-05
1.10828 540 0.00202309 0.0812016 0.343899 -0.585937 13.6485 9.23091e-05
1.07606 506 0.00202273 0.0482169 0.356259 -0.656329 22.317 7.92069e-05
0.920737 503 0.00180633 0.148815 0.345035 -0.596864 6.18712 0.000108953
0.808077 500 0.00170775 0.0717797 0.384833 -0.599563 11.2577 8.82521e-05
0.804358 512 0.00166961 0.0338486 0.337111 -0.60947 23.7634 7.59743e-05
0.82065 498 0.00167364 0.0261331 0.331459 -0.603953 31.4027 7.59743e-05
0.889423 531 0.00184955 0.0159639 0.365328 -0.639319 55.7148 7.29356e-05
0.850685 484 0.00188416 0.11546 0.348055 -0.671992 7.36777 0.00010131
1.08487 539 0.00198929 0.190387 0.37617 -0.617228 5.69821 0.000103766
1.00101 554 0.0018091 0.0484091 0.401328 -0.609177 20.6781 7.92069e-05
1.18743 541 0.00207565 0.0605697 0.363165 -0.630198 19.6043 7.59743e-05
0.872524 505 0.0017309 0.0808828 0.358151 -0.567767 10.7875 9.23091e-05
0.976374 501 0.00197108 0.0645287 0.359463 -0.696879 15.1308 7.75653e-05
1.20148 567 0.00206138 0.0207757 0.340871 -0.61606 57.8312 7.29356e-05
1.03773 510 0.00185274 0.0540923 0.284052 -0.608474 19.1845 7.92069e-05
0.876705 491 0.00182289 0.0918042 0.338559 -0.682978 9.54973 9.02464e-05
0.882628 494 0.00178375 0.103226 0.326354 -0.620134 8.55048 9.44434e-05
1.17104 540 0.00211176 0.186029 0.349237 -0.562924 6.29494 0.000108953
0.967926 500 0.00191626 0.0109864 0.341308 -0.671216 88.1025 7.14842e-05
0.830776 518 0.00168737 0.05927 0.384218 -0.690594 14.0168 7.44317e-05
