lambda0 k theta mu0 sigma alpha epsilon weight
0.182964 466 0.000390087 0.0385367 0.295252 -0.140049 4.7478 9.23091e-05
0.235203 489 0.000450609 0.0355785 0.275458 -0.15582 6.6108 0.00010131
0.20212 492 0.000403906 0.0211621 0.327856 -0.0933842 9.55106 9.23091e-05
0.198591 460 0.000420095 0.0379924 0.313931 -0.208318 5.22713 0.000111694
0.220668 490 0.000429162 0.0426973 0.289918 -0.136563 5.1682 0.000106312
0.223473 532 0.000413336 0.0223776 0.352861 -0.111906 9.98649 8.82521e-05
0.202788 448 0.000430462 0.044171 0.31661 -0.172071 4.59098 0.000111694
0.205124 516 0.000422435 0.0466243 0.260839 -0.140234 4.39952 0.000111694
0.211595 494 0.00041432 0.00291758 0.306162 -0.16278 72.5243 7.29356e-05
0.201594 522 0.000401284 0.0349921 0.39354 -0.0972753 5.76113 9.66525e-05
0.22076 525 0.000413126 0.0311824 0.316629 -0.121516 7.07964 7.92069e-05
0.229096 523 0.000462761 0.0180541 0.331592 -0.15544 12.6894 8.26502e-05
0.183621 476 0.000376582 0.0397178 0.357273 -0.141139 4.62313 0.00011454
0.204528 439 0.000449592 0.0280329 0.303364 -0.196661 7.29599 0.00010131
0.190379 528 0.000366993 0.0224713 0.305458 -0.0503004 8.47207 9.23091e-05
0.247705 524 0.000459137 0.0289018 0.320751 -0.141605 8.57056 9.894e-05
0.198399 488 0.000408558 0.0523651 0.288963 -0.151326 3.78876 0.000145886
0.222073 511 0.000438973 0.0476069 0.298084 -0.125187 4.66472 0.000120567
0.222463 579 0.000392295 0.046385 0.328324 -0.0875424 4.79602 0.000108953
0.228465 508 0.000422746 0.0580143 0.291348 -0.117897 3.93807 0.000145886
0.292053 598 0.000475703 0.0485134 0.294483 -0.182926 6.02004 9.23091e-05
0.23274 548 0.000427014 0.0213049 0.316555 -0.127755 10.9242 7.92069e-05
0.240571 561 0.000422308 0.0275152 0.275769 -0.0674578 8.74321 0.000111694
0.226016 540 0.000411483 0.0676736 0.285465 -0.117638 3.33979 0.000141806
0.210846 473 0.000451198 0.0342931 0.311009 -0.158253 6.14833 0.000111694
0.208608 450 0.000423047 0.0677413 0.310182 -0.147685 3.07948 0.000159243
0.246462 543 0.000399616 0.0489543 0.351594 -0.115604 5.03454 9.894e-05
0.196149 511 0.000393764 0.0214711 0.316608 -0.0700015 9.13551 9.23091e-05
0.231251 500 0.000438217 0.0349059 0.286248 -0.116124 6.62497 9.66525e-05
0.255417 505 0.000484099 0.0785554 0.307291 -0.120389 3.25143 0.000185963
0.2121 507 0.000424218 0.0450395 0.276081 -0.154508 4.70919 0.000106312
0.244144 607 0.000402119 0.0404997 0.298162 -0.0795908 6.02829 9.23091e-05
0.226893 515 0.000442446 0.0175326 0.310094 -0.148299 12.9412 7.92069e-05
0.208431 480 0.000443319 0.05848 0.30884 -0.141433 3.56415 0.000120567
0.204582 476 0.000456025 0.0186752 0.284558 -0.214783 10.9547 8.26502e-05
0.200714 470 0.000428832 0.0569993 0.287412 -0.167041 3.52134 0.00011454
0.195539 430 0.000444633 0.0307198 0.303222 -0.171369 6.36524 9.894e-05
0.235024 504 0.000429795 0.0141043 0.270826 -0.107976 16.6633 7.92069e-05
0.207116 490 0.000417103 0.0505404 0.2439 -0.149023 4.09803 0.000111694
0.237841 568 0.000420191 0.02246 0.262234 -0.100285 10.5895 8.63231e-05
0.201416 458 0.000444825 0.00835767 0.316677 -0.181428 24.0996 7.75653e-05
0.197214 471 0.000432245 0.0309711 0.351802 -0.168664 6.36769 0.00010131
0.245591 578 0.000424603 0.0467057 0.357571 -0.134816 5.25827 0.000106312
0.222644 582 0.000354764 0.0363989 0.299218 -0.0440562 6.11677 9.02464e-05
0.186994 467 0.000419423 0.0531206 0.307621 -0.136493 3.52018 0.000127083
0.246196 483 0.000494381 0.0684639 0.35663 -0.166363 3.596 0.000169193
0.24883 501 0.000468289 0.0171088 0.360611 -0.16584 14.544 8.26502e-05
0.240019 563 0.000418442 0.0400198 0.329136 -0.155952 5.99751 0.00010131
0.240974 440 0.00049283 0.106857 0.257964 -0.189261 2.2551 0.000220019
0.174597 487 0.000397745 0.0424027 0.362729 -0.141488 4.11759 9.894e-05
0.205649 484 0.000421434 0.042084 0.316758 -0.126191 4.88664 0.000106312
0.212554 513 0.000424522 0.0318616 0.274883 -0.132324 6.67116 9.44434e-05
0.226926 497 0.000437055 0.0471491 0.297749 -0.138033 4.81295 0.000108953
0.222408 510 0.000443716 0.0499201 0.305833 -0.148867 4.45528 0.00010131
0.206207 516 0.00038972 0.0605512 0.333228 -0.126742 3.40549 0.000123761
0.200207 483 0.000413582 0.0757462 0.345207 -0.167743 2.64313 0.000127083
0.218836 538 0.000431393 0.103022 0.323084 -0.143611 2.12416 0.000212498
0.183413 431 0.000449443 0.0514414 0.33202 -0.13104 3.56548 0.000169193
0.173096 483 0.000359945 0.0306129 0.292891 -0.0745475 5.65436 0.00010131
0.217628 531 0.000400196 0.0531389 0.277041 -0.080938 4.09545 0.000141806
0.219105 472 0.000436834 0.0344999 0.363284 -0.15621 6.35088 0.00011454
0.243054 579 0.000394235 0.0919159 0.271435 -0.0899468 2.64431 0.000174522
0.237366 599 0.00040585 0.0270638 0.315759 -0.0923065 8.77062 8.44567e-05
0.328227 619 0.000489495 0.0795035 0.250617 -0.154169 4.12845 0.000108953
0.368718 548 0.000635839 0.190613 0.283951 -0.154919 1.93438 0.000405239
0.367279 771 0.000490677 0.109436 0.27469 -0.0752017 3.3561 0.000141806
0.430168 717 0.00063246 0.0920941 0.287503 -0.148953 4.67097 0.000137894
0.408744 793 0.000544968 0.0397192 0.27154 -0.0884837 10.2908 0.00010131
0.417095 808 0.000516888 0.0490302 0.258647 -0.0969965 8.5069 9.02464e-05
0.378406 643 0.000614245 0.0931287 0.29005 -0.201185 4.06325 0.000127083
0.413609 758 0.000543991 0.0526022 0.291518 -0.105515 7.86295 9.894e-05
0.347147 655 0.000538865 0.0937865 0.290579 -0.137505 3.70146 0.000120567
0.317666 668 0.000457916 0.0836096 0.281051 -0.0769358 3.7994 0.000123761
0.401564 850 0.000479508 0.0429025 0.30224 -0.0943852 9.35991 7.92069e-05
0.400018 711 0.000541138 0.0622969 0.283319 -0.0960799 6.42115 0.000108953
0.428083 756 0.000564192 0.0748015 0.257497 -0.124345 5.72293 0.00010131
0.338163 702 0.000474003 0.0970453 0.302489 -0.108457 3.48459 0.000164105
0.402681 711 0.000512115 0.0931593 0.296342 -0.107952 4.3225 0.000120567
0.374613 725 0.000529268 0.0482069 0.273347 -0.113272 7.77095 9.66525e-05
0.454104 748 0.000604331 0.088468 0.31745 -0.137122 5.13298 0.000120567
0.381071 685 0.000577141 0.0522782 0.344206 -0.190201 7.28929 9.66525e-05
0.349532 621 0.000574282 0.107382 0.331386 -0.139937 3.25504 0.000185963
0.386864 634 0.000628337 0.0382574 0.344771 -0.235555 10.1121 8.63231e-05
0.352025 662 0.000539967 0.0988847 0.322038 -0.142406 3.55995 0.000137894
0.379248 655 0.000586688 0.0641853 0.310887 -0.191585 5.90864 0.000108953
0.387426 784 0.000485246 0.132272 0.31093 -0.132419 2.92901 0.000159243
0.402285 645 0.000595194 0.0985911 0.309109 -0.153517 4.08034 0.000154594
0.412734 645 0.000595247 0.0674105 0.380313 -0.218879 6.1227 0.000103766
0.410976 765 0.000527155 0.105683 0.343447 -0.112151 3.88877 0.000141806
0.363378 616 0.000586065 0.0654904 0.333543 -0.17715 5.54857 0.000120567
0.433912 777 0.000595724 0.0856268 0.34035 -0.18183 5.06748 0.000103766
0.36657 754 0.000507834 0.102174 0.274367 -0.125788 3.58772 0.000120567
0.393675 774 0.000486794 0.0979816 0.319113 -0.102429 4.01784 0.000137894
0.354658 630 0.000559132 0.0807439 0.257427 -0.16927 4.39238 0.000137894
0.379542 731 0.000534531 0.143244 0.258488 -0.141764 2.64962 0.000169193
0.460197 857 0.000549775 0.127852 0.309446 -0.120596 3.59946 0.000130541
0.451662 821 0.000576487 0.11128 0.303212 -0.146051 4.05879 0.000134142
0.426685 729 0.000561548 0.0981579 0.274939 -0.146675 4.34693 0.000120567
0.355469 747 0.000477629 0.0929384 0.293185 -0.07614 3.82478 0.000137894
0.392641 747 0.000554511 0.0281773 0.288328 -0.131035 13.9347 8.26502e-05
0.390292 635 0.000615056 0.0603674 0.35444 -0.187257 6.46527 0.000108953
0.369147 715 0.000534785 0.0423729 0.314359 -0.106649 8.71186 9.66525e-05
0.33045 592 0.000578597 0.0266442 0.328672 -0.177598 12.4024 8.44567e-05
0.380901 633 0.000581206 0.0256682 0.287272 -0.157602 14.8394 8.44567e-05
0.309732 543 0.000559931 0.0504757 0.271109 -0.212453 6.13626 0.000106312
0.34589 597 0.000556384 0.0533489 0.27227 -0.177669 6.48354 0.000103766
0.402985 672 0.000610153 0.029704 0.318023 -0.179923 13.5667 7.92069e-05
0.380865 729 0.00054554 0.0704056 0.394799 -0.158848 5.40959 9.894e-05
0.332416 571 0.000619104 0.0245969 0.321014 -0.221117 13.5145 8.63231e-05
0.360157 629 0.00058832 0.0263862 0.289595 -0.14466 13.6494 9.44434e-05
0.292633 547 0.000579441 0.0366362 0.319083 -0.201913 7.98755 9.66525e-05
0.336938 594 0.000541669 0.0348348 0.335704 -0.151363 9.67244 9.02464e-05
0.418436 616 0.000684987 0.01695 0.289528 -0.246801 24.6865 8.09011e-05
0.317161 543 0.00058211 0.0246551 0.339645 -0.195435 12.8639 9.02464e-05
0.344634 718 0.000486531 0.0800343 0.357136 -0.104177 4.30607 0.000127083
0.369895 643 0.000585985 0.0443124 0.325276 -0.162913 8.34743 9.894e-05
0.399176 787 0.000536066 0.0281017 0.307302 -0.127608 14.2047 7.59743e-05
0.387457 671 0.00054797 0.0844461 0.279647 -0.156167 4.58821 0.000120567
0.307657 563 0.000532019 0.037021 0.292638 -0.1639 8.31036 8.82521e-05
0.402012 674 0.000595821 0.0606946 0.329553 -0.192186 6.62352 9.02464e-05
0.329523 593 0.000547147 0.0385787 0.281851 -0.167347 8.54159 8.63231e-05
0.328757 592 0.000571105 0.01802 0.277483 -0.177086 18.244 8.26502e-05
0.362421 659 0.000574724 0.0212995 0.311588 -0.161655 17.0155 7.75653e-05
0.299802 554 0.000525528 0.0395767 0.309689 -0.177665 7.57521 9.894e-05
0.361669 591 0.000576551 0.0404011 0.31405 -0.195592 8.95195 9.66525e-05
0.451759 655 0.000631047 0.0588033 0.298886 -0.229092 7.68255 0.00010131
0.363296 663 0.000568071 0.0314956 0.31317 -0.133527 11.5348 9.44434e-05
0.349578 631 0.000555276 0.0149329 0.319731 -0.168412 23.41 7.75653e-05
0.313872 582 0.000533928 0.021255 0.348972 -0.182206 14.767 7.75653e-05
0.348649 692 0.000527719 0.0225903 0.376046 -0.150221 15.4336 7.44317e-05
0.514925 724 0.000683216 0.032455 0.271078 -0.173828 15.8658 8.44567e-05
0.389388 660 0.000579947 0.00938487 0.325577 -0.1605 41.491 7.29356e-05
0.308064 543 0.000587047 0.0484415 0.31251 -0.237402 6.35952 0.00010131
0.334412 565 0.000588905 0.0157195 0.327578 -0.240116 21.2736 8.09011e-05
0.398981 605 0.000645768 0.0155789 0.317293 -0.211224 25.6103 8.63231e-05
0.367272 621 0.000576174 0.0369647 0.316481 -0.156202 9.93576 8.82521e-05
0.390913 638 0.000596272 0.0412597 0.28376 -0.184123 9.47446 8.82521e-05
0.410505 676 0.000596775 0.0206409 0.284227 -0.147189 19.8879 7.75653e-05
0.338868 679 0.000520113 0.0197523 0.322511 -0.104618 17.1559 9.02464e-05
0.371191 651 0.00055939 0.0341516 0.320544 -0.154044 10.8689 8.44567e-05
0.383774 623 0.000607999 0.00643851 0.344501 -0.201571 59.606 7.29356e-05
0.314709 592 0.000582335 0.00765902 0.322552 -0.153325 41.09 7.92069e-05
0.32107 597 0.000550376 0.012905 0.310804 -0.164014 24.8796 7.92069e-05
0.350269 633 0.000552157 0.0404781 0.333074 -0.17182 8.65329 8.26502e-05
0.42416 675 0.000615706 0.0740306 0.296369 -0.178008 5.72953 9.66525e-05
0.377385 640 0.000595189 0.0539488 0.369007 -0.197445 6.99524 9.894e-05
0.377275 655 0.000588627 0.0430099 0.370983 -0.176345 8.77182 8.26502e-05
0.42444 851 0.000515171 0.031998 0.409373 -0.121337 13.2646 8.26502e-05
0.45303 674 0.000630082 0.00922187 0.356029 -0.185344 49.1256 7.44317e-05
0.524801 779 0.00060301 0.114262 0.365293 -0.170864 4.59297 0.000137894
0.377682 726 0.000529979 0.0561055 0.35887 -0.158159 6.73165 8.63231e-05
0.342624 624 0.000585152 0.029321 0.28784 -0.165428 11.6853 9.02464e-05
0.323398 581 0.000608788 0.0320091 0.297404 -0.214887 10.1033 9.23091e-05
0.334945 593 0.000566748 0.0220405 0.313682 -0.18781 15.1968 7.92069e-05
0.376574 596 0.000630314 0.0233077 0.304456 -0.22359 16.1566 8.82521e-05
0.41022 587 0.000677936 0.0282414 0.362506 -0.255004 14.5255 8.82521e-05
0.473924 713 0.000645128 0.031106 0.286738 -0.193602 15.2358 8.09011e-05
0.342629 575 0.00064118 0.0174874 0.311454 -0.248224 19.5929 7.92069e-05
0.4174 664 0.000598235 0.0811007 0.371839 -0.193646 5.14669 0.000111694
0.454782 788 0.000580739 0.0310506 0.302932 -0.13978 14.6464 8.63231e-05
0.42821 761 0.000561602 0.0355421 0.352061 -0.167701 12.048 7.92069e-05
0.336604 680 0.00048104 0.0406944 0.315315 -0.107035 8.27149 9.44434e-05
0.346628 730 0.000485466 0.0552655 0.317533 -0.0994924 6.27206 0.000106312
0.29703 640 0.000490561 0.0818233 0.319413 -0.13996 3.63014 0.00010131
0.341733 646 0.000523297 0.0932003 0.36549 -0.180286 3.66665 0.000137894
0.363407 651 0.000564637 0.0192977 0.269527 -0.134149 18.8316 7.92069e-05
0.311735 552 0.000542657 0.0374544 0.300483 -0.21031 8.32306 8.82521e-05
0.36807 778 0.000444223 0.0562213 0.338612 -0.0607866 6.5468 9.23091e-05
0.388371 733 0.000554508 0.0795362 0.344237 -0.151553 4.88294 0.000111694
0.368614 778 0.000477126 0.0553213 0.356642 -0.0927528 6.66315 9.23091e-05
0.352949 616 0.000567036 0.0239609 0.304799 -0.189938 14.7302 8.82521e-05
0.35823 1035 0.000351627 0.0507765 0.313565 -0.0297033 7.05504 8.26502e-05
0.395616 692 0.00054538 0.0575893 0.318537 -0.164405 6.86961 0.000106312
0.318128 649 0.000511049 0.0429478 0.291636 -0.104656 7.4073 9.23091e-05
0.364313 568 0.000601015 0.0563199 0.296652 -0.207653 6.46864 0.000111694
0.323639 589 0.000548254 0.0774999 0.302302 -0.173578 4.17599 0.000137894
0.467729 863 0.000542052 0.0361834 0.320278 -0.113819 12.9266 8.09011e-05
0.389236 796 0.000497891 0.0788539 0.280656 -0.121155 4.93617 9.44434e-05
0.300777 555 0.00053361 0.101758 0.30858 -0.18007 2.95582 0.00019211
0.365064 676 0.000532763 0.0523797 0.261009 -0.120176 6.96957 0.000108953
0.312296 618 0.000502934 0.0424943 0.309775 -0.186861 7.34912 8.44567e-05
0.38151 656 0.000628135 0.0769485 0.307033 -0.256277 4.95799 9.894e-05
0.386142 694 0.000562711 0.0565064 0.271739 -0.185464 6.8336 8.09011e-05
0.351287 617 0.00056475 0.0741142 0.273327 -0.169636 4.73981 0.000123761
0.365076 649 0.000574047 0.0878431 0.267559 -0.143702 4.15601 0.000130541
0.39222 646 0.000597579 0.0783568 0.300705 -0.150245 5.00556 0.000123761
0.447706 777 0.000598888 0.0612903 0.297486 -0.162455 7.30468 9.66525e-05
0.398608 727 0.000554218 0.0698618 0.294855 -0.161003 5.70566 9.894e-05
0.385919 568 0.000687376 0.0660679 0.333918 -0.295724 5.84125 0.000117495
0.412709 616 0.000668287 0.066646 0.323872 -0.231303 6.19256 0.000111694
0.49895 790 0.000606489 0.0294288 0.314582 -0.151794 16.9545 8.63231e-05
0.358139 738 0.000494462 0.0503756 0.331975 -0.0980837 7.10937 9.44434e-05
0.402567 651 0.000610749 0.0377471 0.338469 -0.198253 10.6649 9.02464e-05
0.416205 669 0.000636429 0.0478477 0.326897 -0.219282 8.69853 8.44567e-05
0.371841 599 0.000617611 0.157928 0.36676 -0.218275 2.35449 0.000174522
0.343809 625 0.000577091 0.0474966 0.347831 -0.196672 7.2386 9.23091e-05
0.458878 733 0.000583044 0.0374454 0.31427 -0.162281 12.2546 8.63231e-05
0.356484 633 0.000574104 0.0289198 0.34686 -0.183998 12.3266 7.92069e-05
0.41071 677 0.000598709 0.0272366 0.306983 -0.188041 15.0793 7.92069e-05
0.42265 648 0.000629825 0.0665481 0.29639 -0.212206 6.35105 0.00010131
0.389008 718 0.000541394 0.0909912 0.318321 -0.152376 4.27522 0.000117495
0.442353 644 0.000607786 0.028158 0.341045 -0.199148 15.7097 8.26502e-05
0.342817 590 0.000570704 0.0967151 0.363792 -0.193696 3.5446 0.000159243
0.395932 694 0.000614173 0.0545287 0.377672 -0.18143 7.26098 8.63231e-05
0.495241 803 0.00060622 0.0382524 0.325693 -0.143039 12.9467 8.44567e-05
0.416095 623 0.000645832 0.0468263 0.405806 -0.220011 8.88594 9.44434e-05
0.351022 577 0.000635672 0.0357046 0.316253 -0.305327 9.83129 7.75653e-05
0.465399 684 0.000652438 0.0465696 0.416199 -0.258364 9.99361 8.63231e-05
0.407831 622 0.000648715 0.032123 0.34761 -0.221334 12.6959 8.63231e-05
0.494343 643 0.000781225 0.020332 0.363829 -0.310327 24.3135 7.44317e-05
0.33655 583 0.000575833 0.0068119 0.340906 -0.21483 49.4062 7.44317e-05
0.300184 600 0.000503635 0.00742636 0.328779 -0.141471 40.4214 7.44317e-05
0.311652 581 0.000568214 0.00307794 0.333719 -0.182653 101.253 7.14842e-05
0.244121 477 0.00052228 0.00901983 0.310598 -0.211792 27.0649 8.63231e-05
0.296988 542 0.000557544 0.027799 0.364902 -0.229957 10.6834 8.63231e-05
0.378646 620 0.000591898 0.0170288 0.339369 -0.216613 22.2357 8.09011e-05
0.372381 575 0.000608807 0.031829 0.343941 -0.258932 11.6994 8.63231e-05
0.353349 570 0.000633672 0.00271316 0.300905 -0.260158 130.235 7.14842e-05
0.312367 543 0.000589726 0.0384156 0.288205 -0.212369 8.13125 0.000111694
0.354469 596 0.000617159 0.0379823 0.309177 -0.22456 9.33247 9.23091e-05
0.288001 553 0.000534625 0.0208849 0.282734 -0.184288 13.7899 8.44567e-05
0.324176 572 0.000537503 0.00878628 0.322454 -0.187423 36.8957 7.59743e-05
0.347412 523 0.000659173 0.0295213 0.373338 -0.298762 11.7682 9.02464e-05
0.32874 563 0.000589201 0.0249148 0.319734 -0.222839 13.1946 8.63231e-05
0.265138 513 0.000528735 0.00151142 0.33761 -0.24727 175.423 7.29356e-05
0.276605 508 0.000551101 0.0136347 0.333194 -0.274856 20.2869 8.26502e-05
0.320505 537 0.000589414 0.0297591 0.31451 -0.237663 10.77 8.44567e-05
0.291256 583 0.000520067 0.0126563 0.382995 -0.159038 23.0128 7.44317e-05
0.270785 577 0.000453923 0.008778 0.320234 -0.149166 30.8482 7.29356e-05
0.302575 608 0.000526229 0.0213977 0.328808 -0.188769 14.1406 7.92069e-05
0.306693 545 0.000564333 0.012268 0.341244 -0.219741 24.9994 8.44567e-05
0.362005 583 0.000611467 0.0336262 0.37634 -0.262513 10.7656 8.63231e-05
0.312916 552 0.000576015 0.00639498 0.371772 -0.23572 48.9315 7.44317e-05
0.302916 500 0.000563576 0.0282168 0.336107 -0.255106 10.7353 9.66525e-05
0.328675 579 0.000560291 0.0177711 0.319967 -0.236329 18.4949 7.92069e-05
0.309138 591 0.000522059 0.0139098 0.309673 -0.194962 22.2245 8.09011e-05
0.343071 553 0.000613742 0.0296541 0.354956 -0.293748 11.5691 8.63231e-05
0.275208 555 0.000535748 0.0180508 0.322041 -0.212658 15.2463 7.75653e-05
0.317079 562 0.000551971 0.00104138 0.356299 -0.194492 304.478 7.14842e-05
0.280452 582 0.000502736 0.0234815 0.349556 -0.229903 11.9435 8.09011e-05
0.327175 500 0.000628791 0.0194763 0.404801 -0.298801 16.7986 9.23091e-05
0.348935 580 0.000603494 0.00704132 0.340476 -0.25428 49.5554 7.59743e-05
0.257982 532 0.00051347 0.033689 0.335821 -0.224046 7.65776 8.44567e-05
0.302442 583 0.000516164 0.0671496 0.354325 -0.194595 4.504 0.000127083
0.29643 532 0.000630711 0.0160313 0.361033 -0.261699 18.4908 9.44434e-05
0.270368 509 0.000549401 0.0393924 0.437646 -0.214131 6.86345 9.66525e-05
0.22717 465 0.00052118 0.0357546 0.379451 -0.257047 6.35359 0.000103766
0.302428 509 0.000621023 0.0184505 0.343432 -0.267647 16.3914 7.92069e-05
0.277502 519 0.000532362 0.00482688 0.336219 -0.190806 57.4909 7.44317e-05
0.274278 509 0.000587154 0.0092675 0.413716 -0.280677 29.5957 8.09011e-05
0.287696 566 0.000510831 0.0432153 0.358698 -0.185236 6.65726 9.02464e-05
0.25352 532 0.000504772 0.0105228 0.346674 -0.180147 24.0923 7.59743e-05
0.341236 690 0.000489881 0.0148723 0.394096 -0.123521 22.9444 7.75653e-05
0.243031 484 0.00048528 0.00408125 0.371957 -0.207501 59.5482 7.59743e-05
0.322581 576 0.000576083 0.0189426 0.327635 -0.217685 17.0294 8.44567e-05
0.277763 538 0.000530367 0.0143746 0.333587 -0.186025 19.3232 7.75653e-05
0.278483 514 0.00054932 0.00272629 0.32919 -0.255464 102.147 7.29356e-05
0.275417 533 0.000535896 0.0188149 0.376614 -0.236079 14.6383 7.75653e-05
0.288828 530 0.000537367 0.0180789 0.358061 -0.224203 15.9759 8.09011e-05
0.349903 594 0.000611112 0.00512714 0.348769 -0.227334 68.2452 7.29356e-05
0.331979 582 0.00059681 0.022462 0.37065 -0.250152 14.7795 7.59743e-05
0.364144 681 0.000515141 0.0089615 0.423604 -0.140101 40.6343 7.29356e-05
0.26353 514 0.000528865 0.0387445 0.411017 -0.25399 6.80174 9.23091e-05
0.28315 592 0.000444165 0.0148991 0.317627 -0.0771408 19.0045 8.26502e-05
0.231638 552 0.000430702 0.0313029 0.324397 -0.142325 7.3999 8.26502e-05
0.325172 670 0.000520648 0.00272799 0.331361 -0.134192 119.198 7.14842e-05
0.278967 566 0.000499775 0.0123388 0.356482 -0.154674 22.609 7.29356e-05
0.240516 548 0.000477284 0.029756 0.340928 -0.153715 8.08295 9.23091e-05
0.313447 555 0.000551772 0.013307 0.362168 -0.1717 23.555 8.09011e-05
0.27754 535 0.000508835 0.059345 0.372707 -0.182491 4.67673 0.000106312
0.301163 568 0.000533619 0.028023 0.2975 -0.149437 10.747 9.02464e-05
0.302926 601 0.000509865 0.0386108 0.334186 -0.218584 7.84563 8.82521e-05
0.314089 625 0.000500422 0.0585328 0.338594 -0.12903 5.36603 9.66525e-05
0.344943 593 0.000570106 0.0039496 0.349411 -0.202622 87.3361 7.14842e-05
0.276315 526 0.000586094 0.0147193 0.288919 -0.229984 18.7723 8.44567e-05
0.299095 528 0.000562948 0.00732727 0.349321 -0.21458 40.8193 7.29356e-05
0.368651 588 0.000614658 0.00155299 0.311333 -0.250178 237.382 7.14842e-05
0.267787 529 0.000501052 0.0135511 0.394178 -0.241351 19.7612 7.59743e-05
0.314859 539 0.000592676 0.0400491 0.333868 -0.271926 7.86184 9.894e-05
0.312311 561 0.000573728 2.00112e-05 0.324778 -0.207105 15606.8 7.14842e-05
0.342496 598 0.000554992 0.00887533 0.349333 -0.151367 38.5897 7.44317e-05
0.285004 502 0.00060389 0.00172553 0.338188 -0.285721 165.169 7.29356e-05
0.306514 575 0.000520215 0.0061552 0.357573 -0.15331 49.7975 7.29356e-05
0.328764 571 0.000583922 0.0295162 0.36386 -0.227996 11.1384 9.66525e-05
0.319404 569 0.000531177 0.0178402 0.34146 -0.19757 17.9035 8.26502e-05
0.290544 526 0.000570948 0.00540995 0.36948 -0.21642 53.7055 7.59743e-05
0.344654 597 0.000579573 0.00709542 0.369119 -0.265823 48.5741 7.29356e-05
0.29888 504 0.00053873 0.0070241 0.338332 -0.208128 42.5506 7.59743e-05
0.33231 675 0.000489727 0.0575341 0.328285 -0.129433 5.77588 8.82521e-05
0.335031 595 0.000534803 0.0161922 0.388276 -0.179636 20.6909 7.92069e-05
0.28976 567 0.000514604 0.0159416 0.359262 -0.164824 18.1764 7.59743e-05
0.24495 502 0.000530644 0.000989338 0.363767 -0.246722 247.59 7.44317e-05
0.295427 590 0.000504981 0.0157863 0.390711 -0.141918 18.7142 8.09011e-05
0.380174 649 0.000570462 0.0246278 0.305501 -0.14326 15.4368 8.63231e-05
0.278907 565 0.000494191 0.0152117 0.409277 -0.19574 18.3351 7.44317e-05
0.337975 632 0.000535115 0.0015105 0.386246 -0.186434 223.75 7.44317e-05
0.314092 583 0.000569093 0.00479823 0.368444 -0.194052 65.46 7.29356e-05
0.256333 503 0.000488259 0.00499802 0.353806 -0.19191 51.287 7.59743e-05
0.288589 569 0.000490368 0.015609 0.331323 -0.136878 18.4886 7.75653e-05
0.320129 641 0.000528419 0.0145663 0.308486 -0.123418 21.9774 7.92069e-05
0.389516 630 0.000611469 0.0159172 0.347606 -0.193994 24.4713 7.29356e-05
0.251841 523 0.0004943 0.000530146 0.361298 -0.113228 475.042 7.14842e-05
0.331836 641 0.000539697 0.0146267 0.317687 -0.149076 22.6871 7.92069e-05
0.237451 561 0.000459872 0.0326916 0.315131 -0.131127 7.26338 9.894e-05
0.338091 566 0.000586585 0.0461997 0.317836 -0.224795 7.31804 9.894e-05
0.322063 633 0.000524037 0.0195849 0.323603 -0.146227 16.4444 7.92069e-05
0.282059 595 0.000463567 0.0433782 0.368065 -0.150364 6.50233 9.894e-05
0.340604 572 0.000535922 0.0871158 0.298036 -0.192443 3.90979 0.000145886
0.302883 627 0.000498357 0.0816963 0.296895 -0.157014 3.70743 0.00011454
0.308734 599 0.000485401 0.0357555 0.30007 -0.138379 8.63457 8.63231e-05
0.319887 562 0.000534461 0.0576297 0.281087 -0.179232 5.55073 0.000103766
0.256606 565 0.00044837 0.0394099 0.308142 -0.131124 6.51121 9.894e-05
0.26745 616 0.000438138 0.0273926 0.319344 -0.0868843 9.76357 8.09011e-05
0.340326 605 0.000565247 0.0138076 0.273671 -0.185771 24.6476 7.92069e-05
0.27525 530 0.000486354 0.0698484 0.332351 -0.138927 3.94068 0.000127083
0.280195 554 0.00051053 0.0504262 0.315883 -0.202982 5.55654 9.894e-05
0.270351 567 0.000499913 0.0694876 0.287864 -0.124516 3.89064 0.000145886
0.264398 662 0.000412379 0.0759459 0.33992 -0.0810765 3.48139 0.000120567
0.264181 570 0.000484616 0.00545228 0.329694 -0.139745 48.4533 7.44317e-05
0.286496 535 0.000511333 0.0325773 0.306505 -0.16531 8.79436 9.66525e-05
0.266763 576 0.000487717 0.0252845 0.294181 -0.139823 10.5505 9.02464e-05
0.312685 630 0.000498325 0.0289051 0.33932 -0.116708 10.8176 9.23091e-05
0.311636 623 0.00050176 0.0312513 0.335253 -0.153857 9.97193 8.63231e-05
0.25345 540 0.000450775 0.0350978 0.315583 -0.12159 7.22124 9.894e-05
0.295051 687 0.000433496 0.0111706 0.39486 -0.0903435 26.4133 7.44317e-05
0.268696 540 0.000505451 0.0192577 0.370203 -0.215035 13.9526 7.92069e-05
0.244455 555 0.000446421 0.0141833 0.33955 -0.117529 17.2354 8.26502e-05
0.301213 594 0.000526659 0.00719377 0.313013 -0.19872 41.8714 7.29356e-05
0.220748 530 0.000450248 0.0167875 0.316306 -0.121472 13.1496 8.09011e-05
0.282479 553 0.000503169 0.0361188 0.398476 -0.16901 7.82083 0.000108953
0.294683 677 0.000446119 0.0369064 0.377525 -0.0784496 7.9846 9.02464e-05
