lambda0 k theta sigma alpha epsilon weight
1.24186 22433 5.60574e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26154 22433 5.60574e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26362 22433 5.60546e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26319 22433 5.60546e-05 0.357794 0.912372 0.85804 4.41637e-05
1.24633 22433 5.60546e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25822 22433 5.60546e-05 0.357794 0.912372 0.85804 1.80894e-05
1.26814 22433 5.60546e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26247 22433 5.60546e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25766 22433 5.60544e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26845 22433 5.60544e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25555 22433 5.60544e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25454 22433 5.60544e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25368 22433 5.60544e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26013 22433 5.60544e-05 0.357794 0.912372 0.85804 1.67247e-05
1.26992 22435 5.60547e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24338 22435 5.60547e-05 0.357794 0.912372 0.85804 0.000113059
1.26215 22435 5.60547e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26172 22435 5.60547e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25525 22435 5.60547e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25302 22435 5.60547e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25764 22435 5.60547e-05 0.357794 0.912372 0.85804 2.33593e-05
1.24682 22435 5.60547e-05 0.357794 0.912372 0.85804 2.82648e-05
1.24634 22435 5.60547e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25162 22435 5.60547e-05 0.357794 0.912372 0.85804 2.82648e-05
1.24684 22435 5.60547e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25513 22431 5.60514e-05 0.357794 0.912372 0.85804 2.82648e-05
1.24409 22431 5.60514e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25921 22431 5.60514e-05 0.357794 0.912372 0.85804 0.000113059
1.26208 22431 5.60514e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25494 22431 5.60514e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25725 22431 5.60514e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26701 22451 5.60102e-05 0.357794 0.912372 0.85804 3.91208e-05
1.2438 22451 5.60102e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26661 22451 5.60102e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26191 22451 5.60102e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26094 22443 5.60485e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26063 22443 5.60485e-05 0.357794 0.912372 0.85804 3.13183e-05
1.2679 22443 5.60485e-05 0.357794 0.912372 0.85804 6.68988e-05
1.2573 22443 5.60485e-05 0.357794 0.912372 0.85804 5.76832e-05
1.2652 22443 5.60485e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26081 22443 5.60485e-05 0.357794 0.912372 0.85804 7.85132e-05
1.2533 22443 5.60485e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25595 22443 5.60485e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26272 22443 5.60485e-05 0.357794 0.912372 0.85804 6.68988e-05
1.24947 22443 5.60485e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26285 22443 5.60485e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25716 22453 5.60423e-05 0.357794 0.912372 0.85804 3.48948e-05
