lambda0 k theta sigma alpha epsilon weight
1.27105 23207 5.46036e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25958 23207 5.46036e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26768 23207 5.46036e-05 0.357794 0.912372 0.85804 0.000113059
1.26618 23207 5.46036e-05 0.357794 0.912372 0.85804 5.02485e-05
1.28074 23207 5.46036e-05 0.357794 0.912372 0.85804 7.85132e-05
1.27236 23207 5.46036e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26856 23207 5.46036e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26296 23207 5.46036e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25735 23207 5.46036e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26095 23207 5.46036e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26223 23207 5.46036e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26787 23207 5.46036e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25814 23207 5.46036e-05 0.357794 0.912372 0.85804 9.34372e-05
1.27043 23207 5.46036e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26472 23207 5.46036e-05 0.357794 0.912372 0.85804 2.82648e-05
1.24815 23197 5.46075e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24924 23185 5.46432e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26297 23185 5.46432e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27943 23185 5.46432e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25783 23185 5.46432e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26516 23185 5.46432e-05 0.357794 0.912372 0.85804 2.13722e-05
1.2609 23185 5.46432e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26168 23185 5.46432e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26134 23183 5.46432e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25978 23183 5.46432e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27344 23187 5.4644e-05 0.357794 0.912372 0.85804 5.02485e-05
1.2681 23187 5.4644e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25994 23187 5.4644e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27876 23187 5.4644e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26621 23195 5.45697e-05 0.357794 0.912372 0.85804 5.02485e-05
1.2681 23195 5.45697e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25042 23195 5.45697e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25625 23195 5.45697e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25867 23195 5.45697e-05 0.357794 0.912372 0.85804 5.02485e-05
1.23734 23195 5.45697e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26476 23195 5.45697e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27811 23195 5.45697e-05 0.357794 0.912372 0.85804 2.5637e-05
1.248 23195 5.45697e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26544 23195 5.45697e-05 0.357794 0.912372 0.85804 2.13722e-05
1.26739 23195 5.45697e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26237 23195 5.45697e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25782 23195 5.45697e-05 0.357794 0.912372 0.85804 3.91208e-05
1.2616 23149 5.46233e-05 0.357794 0.912372 0.85804 6.68988e-05
1.2518 23149 5.46233e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26999 23149 5.46233e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26739 23131 5.46458e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24798 23159 5.45788e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25393 23159 5.45788e-05 0.357794 0.912372 0.85804 3.13183e-05
1.2688 23159 5.45788e-05 0.357794 0.912372 0.85804 9.34372e-05
1.27164 23025 5.4878e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25412 23025 5.48846e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26148 23145 5.46308e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25543 23145 5.46308e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27945 23145 5.46308e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27883 23141 5.46586e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25646 23141 5.46586e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25289 23141 5.46586e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26008 23141 5.46586e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26517 23141 5.46586e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26575 23141 5.46586e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24811 23141 5.46586e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27513 23141 5.46586e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26148 23139 5.46443e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26243 23139 5.46443e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26066 23139 5.46443e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27386 23139 5.46579e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24541 23139 5.46579e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27235 23139 5.46554e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26254 23139 5.46554e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27035 23139 5.465e-05 0.357794 0.912372 0.85804 5.76832e-05
1.2697 23139 5.465e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27226 23139 5.46507e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26662 23139 5.46507e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27151 23139 5.46548e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26011 23139 5.46548e-05 0.357794 0.912372 0.85804 4.41637e-05
1.24277 23139 5.46595e-05 0.357794 0.912372 0.85804 0.000113059
1.2684 23139 5.46595e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25468 23139 5.46595e-05 0.357794 0.912372 0.85804 3.91208e-05
1.2535 23143 5.46539e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26081 23143 5.46539e-05 0.357794 0.912372 0.85804 3.48948e-05
1.2444 23143 5.46539e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26256 23143 5.46539e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26949 23143 5.46539e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27046 23143 5.46539e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25248 23141 5.46535e-05 0.357794 0.912372 0.85804 2.82648e-05
1.28946 23141 5.46535e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26245 23141 5.46535e-05 0.357794 0.912372 0.85804 2.13722e-05
1.25991 23141 5.46535e-05 0.357794 0.912372 0.85804 5.02485e-05
1.24628 23141 5.46535e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25047 23141 5.46535e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26015 23141 5.46535e-05 0.357794 0.912372 0.85804 0.000139579
1.27333 23141 5.46535e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26969 23141 5.46535e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27058 23141 5.46535e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26029 23141 5.46535e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26269 23145 5.4651e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26597 23145 5.4651e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25223 23145 5.4651e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27372 23145 5.4651e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27598 23145 5.4651e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27931 23145 5.4651e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26245 23145 5.4651e-05 0.357794 0.912372 0.85804 2.13722e-05
1.26503 23145 5.4651e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25084 23145 5.4651e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25585 23141 5.46437e-05 0.357794 0.912372 0.85804 1.96283e-05
1.2789 23141 5.46437e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26932 23141 5.46407e-05 0.357794 0.912372 0.85804 6.68988e-05
1.2632 23141 5.46407e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26623 23141 5.46504e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25425 23141 5.46504e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25596 22815 5.53848e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26389 22815 5.53848e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27352 22763 5.55357e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26368 22763 5.55357e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26454 22763 5.55357e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27041 22763 5.55357e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26299 22763 5.55357e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27605 22839 5.53736e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27618 22833 5.54112e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26731 22833 5.54112e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25658 22833 5.54112e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25869 22835 5.5408e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25418 22835 5.5408e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26066 22827 5.5415e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25884 22827 5.5415e-05 0.357794 0.912372 0.85804 2.5637e-05
1.2775 22771 5.55236e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25684 22769 5.55197e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26521 22789 5.54829e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25916 22789 5.54628e-05 0.357794 0.912372 0.85804 1.96283e-05
1.26861 22789 5.54628e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25728 22789 5.54628e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26394 22789 5.54628e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26841 22789 5.54628e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27129 22789 5.54628e-05 0.357794 0.912372 0.85804 3.48948e-05
1.2524 22789 5.54628e-05 0.357794 0.912372 0.85804 0.000230733
1.26105 22789 5.54628e-05 0.357794 0.912372 0.85804 2.13722e-05
1.26035 22789 5.54628e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26989 22789 5.54628e-05 0.357794 0.912372 0.85804 2.33593e-05
1.27574 22789 5.54628e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27852 22789 5.54628e-05 0.357794 0.912372 0.85804 7.85132e-05
1.24762 22789 5.54628e-05 0.357794 0.912372 0.85804 1.96283e-05
1.27518 22789 5.54628e-05 0.357794 0.912372 0.85804 1.55088e-05
1.25566 22789 5.54628e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25304 22789 5.54628e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26876 22789 5.54628e-05 0.357794 0.912372 0.85804 2.13722e-05
1.26491 22789 5.54628e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26223 22789 5.54628e-05 0.357794 0.912372 0.85804 3.48948e-05
1.2656 22789 5.54628e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26695 22789 5.54628e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25339 22789 5.54628e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26371 22789 5.54628e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25731 22789 5.54628e-05 0.357794 0.912372 0.85804 3.91208e-05
1.2689 22789 5.54628e-05 0.357794 0.912372 0.85804 2.13722e-05
1.28113 22793 5.54625e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26786 22793 5.54625e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26209 22769 5.55177e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27021 22771 5.55326e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26045 22771 5.55326e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26064 22771 5.55326e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27626 22771 5.55326e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25753 22793 5.55067e-05 0.357794 0.912372 0.85804 0.000113059
1.28049 22793 5.55067e-05 0.357794 0.912372 0.85804 5.02485e-05
1.2595 22793 5.55067e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26289 22793 5.55067e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26377 22791 5.5506e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27344 22791 5.5506e-05 0.357794 0.912372 0.85804 2.13722e-05
1.27527 22795 5.55062e-05 0.357794 0.912372 0.85804 4.41637e-05
1.28229 22795 5.55062e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27611 22795 5.55062e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26955 22795 5.55062e-05 0.357794 0.912372 0.85804 3.13183e-05
1.24728 22795 5.55062e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26617 22795 5.55062e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27542 22795 5.55029e-05 0.357794 0.912372 0.85804 4.41637e-05
1.28328 22795 5.55029e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26693 22799 5.54968e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25693 22799 5.54968e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27367 22799 5.54968e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27139 22799 5.54968e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26744 22799 5.54968e-05 0.357794 0.912372 0.85804 5.02485e-05
1.24565 22795 5.55035e-05 0.357794 0.912372 0.85804 0.000176655
1.25515 22795 5.55035e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26598 22795 5.55035e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25326 23131 5.46109e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27602 23131 5.46109e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27196 23131 5.46109e-05 0.357794 0.912372 0.85804 3.91208e-05
1.2553 23131 5.46109e-05 0.357794 0.912372 0.85804 5.02485e-05
1.24999 23125 5.46093e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27219 23125 5.46093e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26328 23125 5.46093e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25022 22783 5.54723e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25729 22787 5.54752e-05 0.357794 0.912372 0.85804 9.34372e-05
1.27535 22787 5.54752e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26698 22817 5.54148e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26152 22817 5.54148e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26137 22817 5.54071e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25638 22817 5.54071e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26167 22817 5.54071e-05 0.357794 0.912372 0.85804 2.13722e-05
1.2507 22819 5.54028e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27534 22819 5.54028e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25989 22819 5.54028e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26347 22819 5.54028e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27386 22819 5.54028e-05 0.357794 0.912372 0.85804 7.85132e-05
1.2739 22803 5.54322e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25309 22803 5.54322e-05 0.357794 0.912372 0.85804 1.80894e-05
1.26416 22803 5.54322e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26532 22803 5.54322e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26795 22803 5.54322e-05 0.357794 0.912372 0.85804 5.02485e-05
1.24676 22789 5.54524e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26063 22789 5.54524e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26884 22793 5.54539e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26446 22793 5.54539e-05 0.357794 0.912372 0.85804 0.000113059
1.26202 22793 5.54539e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27542 22813 5.539e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26648 22813 5.539e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25655 22813 5.539e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27005 22813 5.539e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25224 22815 5.53836e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27275 22815 5.53836e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26439 22815 5.53836e-05 0.357794 0.912372 0.85804 5.76832e-05
1.24857 22815 5.53836e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25546 22815 5.53836e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26612 22815 5.53836e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26331 22815 5.53836e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25336 22815 5.53836e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26425 22815 5.53836e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26151 22813 5.53847e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25496 22813 5.53847e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27716 22813 5.53847e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26402 22813 5.53847e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26291 22815 5.53834e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27962 22815 5.53834e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25572 22815 5.53834e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26908 22815 5.53834e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26649 22815 5.53834e-05 0.357794 0.912372 0.85804 2.5637e-05
1.28053 22815 5.53834e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27086 22815 5.53834e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25278 22813 5.53817e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26821 22813 5.53817e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26707 22813 5.53817e-05 0.357794 0.912372 0.85804 3.91208e-05
1.28096 22813 5.53817e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25418 22825 5.53738e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25318 22825 5.53738e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25548 22825 5.53738e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27334 22825 5.53738e-05 0.357794 0.912372 0.85804 2.33593e-05
1.27085 22825 5.53738e-05 0.357794 0.912372 0.85804 1.96283e-05
1.26861 22825 5.53738e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26701 22825 5.53738e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24745 22825 5.53738e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25378 22825 5.53738e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27172 22825 5.53738e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26501 22823 5.53774e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25617 22823 5.53774e-05 0.357794 0.912372 0.85804 1.67247e-05
1.25901 22823 5.53774e-05 0.357794 0.912372 0.85804 5.76832e-05
1.24603 22823 5.53774e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27258 22817 5.53815e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26328 22817 5.53815e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26431 22817 5.53815e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26003 22817 5.53815e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25753 22817 5.53815e-05 0.357794 0.912372 0.85804 0.000139579
1.27366 22763 5.55606e-05 0.357794 0.912372 0.85804 2.13722e-05
1.25636 22763 5.55606e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27391 22763 5.55606e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25838 22763 5.55606e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26877 22763 5.55606e-05 0.357794 0.912372 0.85804 5.02485e-05
1.28107 22757 5.5578e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25659 22757 5.5578e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24667 22757 5.5578e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26818 22757 5.5578e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26589 22757 5.5578e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26466 22757 5.5578e-05 0.357794 0.912372 0.85804 1.34434e-05
1.26052 22755 5.55616e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26355 22757 5.55958e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26362 22757 5.55958e-05 0.357794 0.912372 0.85804 4.41637e-05
1.28485 22757 5.55958e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26514 22757 5.55958e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26346 22757 5.55958e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25394 22757 5.55958e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27775 22757 5.55958e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26208 22757 5.55958e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25707 22757 5.55958e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26501 22757 5.55958e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26228 22757 5.55958e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26211 22755 5.55943e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26923 22755 5.55943e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25954 22755 5.55943e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26529 22759 5.55688e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25992 22761 5.55718e-05 0.357794 0.912372 0.85804 0.000139579
1.26161 22753 5.55964e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24834 22753 5.55964e-05 0.357794 0.912372 0.85804 3.13183e-05
1.24795 22753 5.55964e-05 0.357794 0.912372 0.85804 2.13722e-05
1.27747 22753 5.55964e-05 0.357794 0.912372 0.85804 3.91208e-05
1.2493 22753 5.55964e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26412 22753 5.55964e-05 0.357794 0.912372 0.85804 2.13722e-05
1.25435 22753 5.55964e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26617 22753 5.55964e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25417 22765 5.55585e-05 0.357794 0.912372 0.85804 1.80894e-05
1.26393 22765 5.55585e-05 0.357794 0.912372 0.85804 9.34372e-05
1.2611 22751 5.55738e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24613 22751 5.55738e-05 0.357794 0.912372 0.85804 1.67247e-05
1.25923 22751 5.55738e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27416 22751 5.55738e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26399 22751 5.55738e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27804 22751 5.55738e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27165 22751 5.55738e-05 0.357794 0.912372 0.85804 2.13722e-05
1.26929 22751 5.55738e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27277 22751 5.55738e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27862 22751 5.55738e-05 0.357794 0.912372 0.85804 9.34372e-05
1.24871 22751 5.55738e-05 0.357794 0.912372 0.85804 5.02485e-05
1.2675 22763 5.55448e-05 0.357794 0.912372 0.85804 2.5637e-05
1.24989 22763 5.55448e-05 0.357794 0.912372 0.85804 6.68988e-05
1.2642 22763 5.55448e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26157 22763 5.55448e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26195 22763 5.55448e-05 0.357794 0.912372 0.85804 0.000113059
1.25452 22763 5.55448e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26391 22763 5.55448e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27078 22763 5.55448e-05 0.357794 0.912372 0.85804 7.85132e-05
1.24933 22763 5.55525e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25701 22763 5.55525e-05 0.357794 0.912372 0.85804 5.02485e-05
1.28478 22777 5.55404e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26632 22777 5.55404e-05 0.357794 0.912372 0.85804 9.34372e-05
1.27036 22777 5.55404e-05 0.357794 0.912372 0.85804 1.80894e-05
1.24611 22777 5.55404e-05 0.357794 0.912372 0.85804 4.41637e-05
1.266 22777 5.55404e-05 0.357794 0.912372 0.85804 1.96283e-05
1.25784 22777 5.55404e-05 0.357794 0.912372 0.85804 5.76832e-05
1.2707 22771 5.55523e-05 0.357794 0.912372 0.85804 5.76832e-05
1.28008 22771 5.55523e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26627 22771 5.55523e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26253 22749 5.55868e-05 0.357794 0.912372 0.85804 2.13722e-05
1.26213 22749 5.55868e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26724 22749 5.55949e-05 0.357794 0.912372 0.85804 5.02485e-05
1.28564 22749 5.55949e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26439 22749 5.55949e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25384 22763 5.55769e-05 0.357794 0.912372 0.85804 5.76832e-05
1.2668 22763 5.55769e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26316 22739 5.55967e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27184 22745 5.56154e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26986 22745 5.56154e-05 0.357794 0.912372 0.85804 9.34372e-05
1.24585 22745 5.56154e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26643 22745 5.56154e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27805 22745 5.56154e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26025 22745 5.56154e-05 0.357794 0.912372 0.85804 0.000113059
1.2592 22745 5.56064e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25911 22745 5.56064e-05 0.357794 0.912372 0.85804 3.48948e-05
1.2555 22745 5.56064e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25047 22745 5.56064e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26554 22745 5.56064e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25719 22745 5.56064e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25987 22745 5.56064e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27072 22751 5.56082e-05 0.357794 0.912372 0.85804 7.85132e-05
1.27099 22751 5.56082e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25953 22751 5.56082e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26711 22751 5.56082e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26789 22751 5.56082e-05 0.357794 0.912372 0.85804 4.41637e-05
1.258 22751 5.56082e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27664 22741 5.55889e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26805 22741 5.55889e-05 0.357794 0.912372 0.85804 0.000113059
1.27299 22741 5.55889e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25519 22741 5.55889e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27849 22741 5.55889e-05 0.357794 0.912372 0.85804 5.76832e-05
