24,38,44,26,25,31,4,5,0,33,28,27,-1,-1,44,42,19,6,25,27,18,-1,1,21,46,20,2,30,18,35,3,-1,43,25,16,40,34,43,45,11,21,10,18,43,39,27,-1,14,2,30,30,37,13,23,43,-1,29,27,-1,17,22,2,35,12,8,-1,-1,42,8,36,15,9,7,36,-1,41,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
68,61,76,47,60,67,53,-1,-1,55,-1,56,-1,47,54,58,70,67,52,50,63,62,-1,-1,70,65,59,52,50,64,70,51,-1,-1,66,4,68,47,60,71,-1,49,-1,53,73,75,-1,57,72,27,74,69,77,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,101,12,28,27,79,122,118,83,79,82,12,-1,88,99,95,96,92,48,94,114,93,91,20,101,111,89,21,88,85,-1,111,89,109,68,87,119,118,83,86,98,111,89,21,110,113,87,123,-1,103,-1,48,104,115,108,107,100,28,27,81,97,78,83,48,104,90,84,100,117,-1,105,120,-1,121,116,-1,87,-1,30,118,83,27,15,-1,97,112,102,40,80,122,118,83,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,113,156,149,-1,142,129,125,152,140,146,57,41,-1,129,145,120,-1,155,139,-1,5,124,-1,27,39,8,132,61,143,112,56,40,80,81,79,115,125,152,130,141,158,136,98,40,80,-1,153,56,-1,-1,133,147,137,126,129,145,135,127,44,20,101,134,129,144,151,128,-1,-1,97,157,-1,-1,131,148,129,138,154,101,125,152,-1,-1,152,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
167,172,31,166,171,83,159,106,165,170,73,162,54,167,172,166,83,168,-1,164,161,160,70,163,162,-1,169,159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,182,147,195,-1,214,209,184,179,31,97,205,216,198,190,202,65,150,194,178,79,180,196,210,211,-1,146,189,192,-1,150,191,-1,-1,185,-1,135,201,193,177,176,217,-1,174,-1,183,-1,206,97,188,-1,213,199,-1,184,159,-1,97,181,187,112,102,40,80,-1,190,202,150,68,97,173,212,95,208,200,204,215,161,207,184,175,203,197,44,135,130,194,178,79,186,196,208,178,191,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,244,-1,229,243,14,120,12,240,235,-1,190,202,-1,229,152,239,170,228,240,220,-1,-1,-1,74,229,173,222,147,-1,164,74,69,229,141,-1,230,-1,224,219,231,218,27,233,-1,56,-1,229,248,29,253,69,229,241,-1,19,-1,245,224,219,250,221,-1,69,-1,-1,249,238,225,-1,229,-1,248,231,-1,229,141,254,240,233,236,183,10,27,231,231,55,247,141,-1,88,223,224,219,101,79,93,-1,115,233,241,240,-1,241,-1,251,120,242,240,-1,237,-1,-1,237,234,218,237,-1,226,246,44,227,70,233,106,-1,-1,70,112,102,40,80,190,202,7,-1,-1,-1,229,152,130,2,-1,233,243,98,4,205,232,252,-1,150,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,33,28,27,-1,24,36,-1,264,41,273,7,84,263,282,-1,184,14,195,277,20,113,87,-1,262,117,-1,249,280,7,-1,79,258,194,247,-1,33,-1,262,261,268,265,-1,257,-1,199,63,30,276,266,120,14,112,274,40,80,147,115,-1,257,41,271,24,44,263,110,281,81,-1,79,255,20,26,6,60,275,33,272,279,-1,24,-1,262,267,60,-1,68,255,-1,33,28,79,259,97,278,256,270,269,260,259,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,294,-1,294,293,299,289,283,302,251,207,109,-1,292,8,143,285,291,294,300,286,-1,-1,81,294,293,299,68,-1,222,109,288,298,294,293,297,-1,49,303,160,294,131,150,137,15,113,-1,81,131,159,287,149,-1,81,294,293,112,102,-1,40,80,159,253,296,133,44,124,301,304,284,70,295,133,180,290,303,296,295,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
318,95,306,-1,323,137,209,95,306,31,210,328,341,267,-1,202,325,63,330,63,305,321,303,196,277,-1,98,331,335,-1,150,200,340,267,-1,339,337,114,339,84,319,95,339,-1,98,159,147,324,8,316,313,114,339,84,-1,101,318,95,137,324,311,71,-1,-1,97,338,315,324,-1,159,-1,-1,159,336,309,160,-1,324,-1,337,159,70,144,329,-1,159,322,339,26,84,326,217,333,309,63,305,190,-1,98,159,305,334,-1,327,332,97,187,-1,159,-1,-1,70,339,84,-1,-1,170,137,-1,-1,-1,329,308,314,305,71,202,-1,329,308,202,310,230,-1,98,-1,-1,159,329,308,202,317,-1,292,128,-1,93,8,-1,327,307,124,40,80,320,-1,277,-1,227,70,312,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
