lambda,	weight
7.7085,	-11.6687
13.8538,	-11.0825
15.8526,	-10.9477
10.7421,	-11.3368
9.72559,	-11.4363
9.03915,	-11.5095
6.71989,	-11.8059
6.93829,	-11.774
13.4359,	-11.1131
9.14175,	-11.4982
17.8851,	-10.827
5.81694,	-11.9502
5.69144,	-11.9721
6.0666,	-11.9082
11.0097,	-11.3122
8.59248,	-11.5601
8.96766,	-11.5174
8.83533,	-11.5323
11.3287,	-11.2837
13.2675,	-11.1257
8.66826,	-11.5513
5.61897,	-11.9849
7.272,	-11.727
6.28803,	-11.8724
9.93176,	-11.4153
8.46894,	-11.5746
11.7893,	-11.2438
7.21499,	-11.7349
10.6747,	-11.3431
9.23645,	-11.4879
12.0641,	-11.2208
9.10134,	-11.5026
6.13893,	-11.8964
6.28311,	-11.8732
9.23197,	-11.4883
10.4748,	-11.362
13.2384,	-11.1279
8.45191,	-11.5766
5.78396,	-11.9559
16.0749,	-10.9338
9.05922,	-11.5072
6.83562,	-11.7889
12.9976,	-11.1463
10.6985,	-11.3409
8.78817,	-11.5376
6.84358,	-11.7877
5.92657,	-11.9316
8.6582,	-11.5525
9.65224,	-11.4438
12.7719,	-11.1638
12.2699,	-11.2039
9.92994,	-11.4155
9.52069,	-11.4575
11.4403,	-11.2739
8.82936,	-11.5329
6.52336,	-11.8356
5.92536,	-11.9318
8.77238,	-11.5394
14.3187,	-11.0495
7.65978,	-11.675
7.71453,	-11.6679
8.28418,	-11.5967
11.9274,	-11.2322
7.54738,	-11.6898
7.72586,	-11.6664
6.44199,	-11.8482
5.36679,	-12.0308
11.7683,	-11.2456
9.84855,	-11.4237
13.1301,	-11.1361
6.85539,	-11.786
9.67738,	-11.4412
11.0469,	-11.3089
14.4466,	-11.0406
7.73511,	-11.6652
10.2681,	-11.382
5.9701,	-11.9243
3.79343,	-12.3777
9.84254,	-11.4243
5.36106,	-12.0319
13.6637,	-11.0963
9.11953,	-11.5006
7.56885,	-11.687
5.94102,	-11.9291
10.5797,	-11.3521
10.3345,	-11.3755
4.96271,	-12.1091
7.62477,	-11.6796
19.5146,	-10.7399
13.1973,	-11.131
6.88073,	-11.7823
4.72381,	-12.1584
7.51784,	-11.6937
6.91977,	-11.7766
9.08542,	-11.5043
7.76167,	-11.6618
6.47647,	-11.8428
5.60356,	-11.9876
11.2683,	-11.289
7.20029,	-11.7369
11.3545,	-11.2814
5.93087,	-11.9308
7.68537,	-11.6717
15.9067,	-10.9443
7.88765,	-11.6457
11.6418,	-11.2564
12.0714,	-11.2202
8.53518,	-11.5668
6.71264,	-11.807
11.4298,	-11.2748
4.95859,	-12.1099
7.63132,	-11.6788
9.59286,	-11.45
13.2925,	-11.1238
10.7764,	-11.3337
10.6298,	-11.3474
11.5905,	-11.2608
6.886,	-11.7815
9.96903,	-11.4115
8.17677,	-11.6097
6.82641,	-11.7902
14.1697,	-11.0599
10.1357,	-11.395
8.68273,	-11.5497
6.1008,	-11.9026
5.11893,	-12.0781
6.70846,	-11.8076
9.44613,	-11.4654
11.7817,	-11.2445
13.6761,	-11.0954
8.24972,	-11.6008
8.18159,	-11.6091
4.70771,	-12.1618
4.77594,	-12.1474
10.157,	-11.3929
7.6557,	-11.6756
11.222,	-11.2931
9.80264,	-11.4284
8.69924,	-11.5478
8.03644,	-11.627
3.33463,	-12.5067
9.68231,	-11.4407
9.04353,	-11.509
6.08329,	-11.9055
9.36387,	-11.4742
4.35148,	-12.2405
7.15013,	-11.7439
7.69446,	-11.6705
8.60678,	-11.5585
10.2498,	-11.3838
5.33546,	-12.0366
7.28194,	-11.7256
7.54583,	-11.69
10.9704,	-11.3158
6.36516,	-11.8602
5.5988,	-11.9885
12.9918,	-11.1467
9.56189,	-11.4532
8.8662,	-11.5288
6.18041,	-11.8896
13.9753,	-11.0737
6.35932,	-11.8611
9.58775,	-11.4505
7.37732,	-11.7126
12.1407,	-11.2145
10.0059,	-11.4078
10.1852,	-11.3901
8.72962,	-11.5443
8.646,	-11.5539
8.71771,	-11.5457
10.9598,	-11.3168
5.23755,	-12.0552
9.5317,	-11.4564
5.15707,	-12.0706
8.65706,	-11.5526
8.06405,	-11.6236
9.80482,	-11.4281
9.38086,	-11.4723
14.4584,	-11.0397
11.4377,	-11.2741
7.84001,	-11.6518
11.9262,	-11.2323
18.0467,	-10.8181
8.09402,	-11.6199
5.93953,	-11.9294
7.27836,	-11.7261
13.0627,	-11.1413
7.4736,	-11.6996
8.87171,	-11.5281
6.11003,	-11.9011
10.2523,	-11.3835
12.7396,	-11.1663
5.50173,	-12.006
8.65364,	-11.553
7.71129,	-11.6683
9.95868,	-11.4126
7.40595,	-11.7087
4.33922,	-12.2433
5.68348,	-11.9735
8.66587,	-11.5516
9.02008,	-11.5116
8.65605,	-11.5528
5.43757,	-12.0177
7.32219,	-11.7201
8.99368,	-11.5145
9.48466,	-11.4613
6.58414,	-11.8264
6.95814,	-11.7711
6.66984,	-11.8134
4.42296,	-12.2242
11.4812,	-11.2703
12.2712,	-11.2038
6.27016,	-11.8752
3.87261,	-12.3571
10.7376,	-11.3373
6.9978,	-11.7654
10.7105,	-11.3398
6.89438,	-11.7803
6.5415,	-11.8328
11.5454,	-11.2647
9.10203,	-11.5025
10.9639,	-11.3164
8.39378,	-11.5835
7.42042,	-11.7068
8.36222,	-11.5873
5.79441,	-11.9541
8.30996,	-11.5936
5.55527,	-11.9963
16.4141,	-10.9129
7.28599,	-11.7251
8.13808,	-11.6145
7.73208,	-11.6656
13.2363,	-11.128
5.33669,	-12.0364
10.3619,	-11.3729
9.33112,	-11.4777
6.46881,	-11.844
5.22372,	-12.0578
8.06626,	-11.6233
9.73898,	-11.4349
15.931,	-10.9427
11.835,	-11.24
4.37499,	-12.2351
7.59202,	-11.6839
7.56299,	-11.6877
11.9728,	-11.2284
6.92673,	-11.7756
9.5091,	-11.4588
8.72231,	-11.5451
11.8164,	-11.2415
10.1232,	-11.3962
12.9986,	-11.1462
10.0679,	-11.4017
9.12807,	-11.4997
9.86581,	-11.4219
12.1564,	-11.2132
7.31553,	-11.721
4.15487,	-12.2867
8.58728,	-11.5607
8.65594,	-11.5528
7.83692,	-11.6522
7.98782,	-11.6331
9.71239,	-11.4376
15.8301,	-10.9491
7.64861,	-11.6765
9.51168,	-11.4585
6.16525,	-11.8921
12.343,	-11.1979
11.1257,	-11.3018
4.50825,	-12.2051
4.84826,	-12.1324
14.732,	-11.021
9.92949,	-11.4155
10.8509,	-11.3268
7.09895,	-11.7511
9.59832,	-11.4494
6.41519,	-11.8523
7.66204,	-11.6747
3.82181,	-12.3703
9.45538,	-11.4644
13.9868,	-11.0729
6.22607,	-11.8823
7.94215,	-11.6388
5.66105,	-11.9774
12.6159,	-11.1761
8.82499,	-11.5334
10.6436,	-11.3461
7.74487,	-11.664
5.97535,	-11.9234
6.69511,	-11.8096
5.91716,	-11.9332
9.12672,	-11.4998
11.8103,	-11.242
6.00583,	-11.9183
6.73357,	-11.8039
11.3446,	-11.2823
11.0194,	-11.3114
12.6728,	-11.1716
13.5011,	-11.1082
6.80193,	-11.7938
9.40613,	-11.4697
7.33506,	-11.7184
11.7883,	-11.2439
15.1477,	-10.9932
15.7409,	-10.9548
9.06841,	-11.5062
9.54217,	-11.4553
8.20906,	-11.6058
8.48266,	-11.573
5.50082,	-12.0061
7.30679,	-11.7222
5.30486,	-12.0424
13.5658,	-11.1035
10.2463,	-11.3841
8.27988,	-11.5972
9.33099,	-11.4777
9.06907,	-11.5061
10.0597,	-11.4025
7.52603,	-11.6926
6.18898,	-11.8882
8.60026,	-11.5592
5.43008,	-12.0191
12.1227,	-11.2159
20.007,	-10.7149
8.45695,	-11.576
10.7009,	-11.3407
8.22805,	-11.6035
7.71619,	-11.6677
12.227,	-11.2074
3.64261,	-12.4183
7.12114,	-11.7479
13.9258,	-11.0773
9.59085,	-11.4502
7.10325,	-11.7505
10.6396,	-11.3464
9.535,	-11.456
8.71939,	-11.5455
8.35354,	-11.5883
7.28679,	-11.725
10.534,	-11.3564
11.3547,	-11.2814
12.0258,	-11.224
13.4303,	-11.1135
10.0034,	-11.4081
6.04279,	-11.9122
5.0419,	-12.0932
9.41977,	-11.4682
11.5236,	-11.2666
10.2608,	-11.3827
8.47203,	-11.5742
11.4535,	-11.2727
7.6758,	-11.6729
6.54525,	-11.8323
9.27903,	-11.4833
10.6254,	-11.3478
7.29922,	-11.7232
7.67316,	-11.6733
8.72608,	-11.5447
7.59962,	-11.6829
10.7688,	-11.3344
7.60713,	-11.6819
7.52254,	-11.6931
6.80311,	-11.7936
7.30325,	-11.7227
7.76978,	-11.6608
5.89733,	-11.9365
10.6405,	-11.3463
5.67346,	-11.9752
8.78395,	-11.5381
7.92077,	-11.6415
6.85502,	-11.786
10.6523,	-11.3452
15.0469,	-10.9998
6.04913,	-11.9111
8.59538,	-11.5598
6.15054,	-11.8945
12.6952,	-11.1698
10.4289,	-11.3664
8.09093,	-11.6203
11.0666,	-11.3071
4.82128,	-12.138
14.1096,	-11.0642
7.76287,	-11.6617
17.6308,	-10.8414
7.18582,	-11.7389
10.2032,	-11.3883
7.89909,	-11.6443
3.86041,	-12.3602
11.9762,	-11.2281
10.7906,	-11.3323
4.05063,	-12.3121
6.35001,	-11.8626
3.72475,	-12.396
8.73449,	-11.5437
6.57799,	-11.8273
6.2713,	-11.875
10.3823,	-11.3709
10.0871,	-11.3998
12.8024,	-11.1614
6.95575,	-11.7714
6.31512,	-11.8681
10.9837,	-11.3146
6.63477,	-11.8187
7.06354,	-11.7561
10.9266,	-11.3198
8.28261,	-11.5969
9.66193,	-11.4428
6.30342,	-11.8699
13.5203,	-11.1068
8.42536,	-11.5798
11.0029,	-11.3129
10.7825,	-11.3331
6.64213,	-11.8176
7.32598,	-11.7196
18.7842,	-10.778
10.6654,	-11.344
7.93162,	-11.6402
8.86513,	-11.5289
4.61916,	-12.1808
11.072,	-11.3066
8.2931,	-11.5956
8.72041,	-11.5453
5.04765,	-12.0921
8.58689,	-11.5608
10.7554,	-11.3356
11.3642,	-11.2805
8.89132,	-11.5259
5.03137,	-12.0953
5.80793,	-11.9518
7.76013,	-11.662
6.76405,	-11.7994
6.24194,	-11.8797
5.7932,	-11.9543
11.8688,	-11.2371
6.11355,	-11.9005
6.81701,	-11.7916
11.0061,	-11.3126
9.56152,	-11.4533
6.82814,	-11.79
5.90499,	-11.9352
6.1342,	-11.8971
6.58698,	-11.8259
9.11124,	-11.5015
5.40617,	-12.0235
11.9474,	-11.2305
10.4967,	-11.36
6.56517,	-11.8292
4.77542,	-12.1475
11.3056,	-11.2857
7.10317,	-11.7505
11.1735,	-11.2975
9.11106,	-11.5015
10.08,	-11.4005
14.5967,	-11.0302
5.65497,	-11.9785
10.7363,	-11.3374
9.19507,	-11.4923
14.9296,	-11.0077
6.78895,	-11.7957
5.70161,	-11.9703
10.2264,	-11.386
12.6435,	-11.1739
8.21063,	-11.6056
9.34015,	-11.4767
7.14045,	-11.7452
12.6528,	-11.1731
7.53046,	-11.6921
4.02583,	-12.3183
7.12445,	-11.7475
14.2522,	-11.0541
10.485,	-11.3611
6.05277,	-11.9105
12.5136,	-11.1842
5.33947,	-12.0359
10.431,	-11.3662
4.83399,	-12.1353
7.95571,	-11.6371
12.1482,	-11.2138
9.43577,	-11.4665
4.47613,	-12.2123
9.66586,	-11.4424
7.19346,	-11.7378
13.9116,	-11.0783
7.19758,	-11.7373
9.11926,	-11.5006
11.1658,	-11.2982
10.2188,	-11.3868
9.03314,	-11.5101
6.84238,	-11.7879
10.203,	-11.3883
9.51553,	-11.4581
6.9572,	-11.7712
7.99123,	-11.6327
8.9408,	-11.5204
7.88781,	-11.6457
7.95378,	-11.6374
7.20667,	-11.736
9.55468,	-11.454
14.618,	-11.0288
8.18553,	-11.6086
7.23652,	-11.7319
7.07668,	-11.7542
7.59461,	-11.6836
7.37641,	-11.7127
8.00956,	-11.6304
9.73065,	-11.4357
13.9055,	-11.0787
10.6975,	-11.341
5.98627,	-11.9215
4.53057,	-12.2002
7.01855,	-11.7625
8.45698,	-11.576
6.37019,	-11.8594
9.62812,	-11.4463
8.45675,	-11.5761
12.272,	-11.2037
8.14996,	-11.613
12.3265,	-11.1993
9.93653,	-11.4148
8.6609,	-11.5522
7.0976,	-11.7513
11.0442,	-11.3091
6.91403,	-11.7775
15.4751,	-10.9718
13.1488,	-11.1347
5.62202,	-11.9843
5.1239,	-12.0771
12.3457,	-11.1977
6.9412,	-11.7735
12.9872,	-11.147
12.0467,	-11.2222
6.73406,	-11.8038
10.9015,	-11.3221
12.321,	-11.1997
7.87706,	-11.6471
11.8527,	-11.2385
15.9687,	-10.9404
9.32013,	-11.4788
9.78873,	-11.4298
10.7952,	-11.3319
12.1972,	-11.2098
7.89919,	-11.6443
6.84435,	-11.7876
5.71597,	-11.9678
8.46979,	-11.5745
5.39219,	-12.0261
16.2683,	-10.9218
10.7197,	-11.3389
9.90322,	-11.4182
5.40995,	-12.0228
9.39557,	-11.4708
11.7044,	-11.2511
14.2119,	-11.0569
6.10954,	-11.9012
11.8264,	-11.2407
12.0478,	-11.2221
6.79953,	-11.7942
8.31222,	-11.5933
9.47938,	-11.4619
10.8256,	-11.3291
6.31044,	-11.8688
12.2025,	-11.2094
9.35871,	-11.4747
16.1283,	-10.9304
12.7899,	-11.1624
4.69553,	-12.1644
9.21817,	-11.4898
16.1824,	-10.9271
7.98395,	-11.6336
7.60887,	-11.6817
8.8217,	-11.5338
10.8511,	-11.3267
12.7429,	-11.166
6.40659,	-11.8537
7.68876,	-11.6713
13.4846,	-11.1095
9.0948,	-11.5033
10.9393,	-11.3187
11.1128,	-11.3029
10.9249,	-11.32
11.5412,	-11.2651
7.34319,	-11.7172
11.0872,	-11.3052
5.32245,	-12.0391
10.6828,	-11.3424
6.63088,	-11.8193
5.16776,	-12.0686
14.2867,	-11.0517
8.17442,	-11.61
8.70684,	-11.5469
7.51079,	-11.6947
8.21647,	-11.6049
7.54185,	-11.6905
7.22916,	-11.7329
5.23873,	-12.0549
8.36777,	-11.5866
9.2312,	-11.4884
10.6397,	-11.3464
6.55266,	-11.8311
8.58024,	-11.5616
9.83793,	-11.4248
8.00799,	-11.6306
11.0205,	-11.3113
9.81609,	-11.427
11.5776,	-11.2619
14.581,	-11.0313
7.5492,	-11.6896
5.80832,	-11.9517
7.27227,	-11.7269
8.64627,	-11.5539
10.8267,	-11.329
5.53187,	-12.0005
11.1427,	-11.3002
10.886,	-11.3235
5.94025,	-11.9293
11.8092,	-11.2421
8.69524,	-11.5482
11.4181,	-11.2758
5.87486,	-11.9403
12.2238,	-11.2076
9.9164,	-11.4168
5.01907,	-12.0978
11.8564,	-11.2382
9.97336,	-11.4111
6.33876,	-11.8643
16.5095,	-10.9071
7.9287,	-11.6405
8.91967,	-11.5228
8.85836,	-11.5297
6.24679,	-11.8789
10.9364,	-11.3189
12.2442,	-11.206
14.0671,	-11.0672
8.13717,	-11.6146
10.2924,	-11.3796
8.76853,	-11.5398
7.32944,	-11.7191
8.50818,	-11.57
13.5779,	-11.1026
10.5349,	-11.3563
11.3631,	-11.2806
8.93538,	-11.521
8.15129,	-11.6128
9.95166,	-11.4133
13.8394,	-11.0835
13.2043,	-11.1305
8.71928,	-11.5455
6.01677,	-11.9165
15.1929,	-10.9902
8.25799,	-11.5998
6.85961,	-11.7854
11.9047,	-11.2341
16.3728,	-10.9154
13.0613,	-11.1414
9.69641,	-11.4393
13.313,	-11.1223
9.95048,	-11.4134
8.09986,	-11.6192
9.93968,	-11.4145
6.88145,	-11.7822
6.23224,	-11.8813
8.87708,	-11.5275
13.7643,	-11.0889
4.83535,	-12.1351
10.9073,	-11.3216
6.70902,	-11.8076
9.75407,	-11.4333
9.48247,	-11.4616
15.8666,	-10.9468
14.6525,	-11.0264
15.3354,	-10.9809
12.1254,	-11.2157
14.3047,	-11.0504
12.606,	-11.1768
7.12776,	-11.747
5.04241,	-12.0931
8.80237,	-11.536
4.49042,	-12.2091
13.1284,	-11.1362
5.30987,	-12.0414
4.57362,	-12.1907
15.7399,	-10.9548
7.01829,	-11.7625
11.0556,	-11.3081
6.65505,	-11.8156
8.99939,	-11.5139
9.22522,	-11.4891
4.0168,	-12.3205
10.9313,	-11.3194
9.65282,	-11.4438
9.53998,	-11.4555
6.54523,	-11.8323
7.56139,	-11.688
9.54191,	-11.4553
10.1333,	-11.3952
12.3131,	-11.2003
8.65935,	-11.5524
10.3443,	-11.3746
5.41489,	-12.0219
13.8319,	-11.084
9.53592,	-11.456
9.79181,	-11.4295
10.1487,	-11.3937
8.28495,	-11.5966
10.6775,	-11.3429
8.88623,	-11.5265
10.7444,	-11.3366
11.5616,	-11.2633
11.4169,	-11.2759
9.40898,	-11.4694
5.73722,	-11.964
9.20704,	-11.491
5.76397,	-11.9594
8.15147,	-11.6128
8.51308,	-11.5694
7.94463,	-11.6385
3.66891,	-12.4111
6.85996,	-11.7853
9.99332,	-11.4091
10.8568,	-11.3262
7.25623,	-11.7292
7.77855,	-11.6596
11.9134,	-11.2333
9.12816,	-11.4997
13.7572,	-11.0895
14.7258,	-11.0214
10.4678,	-11.3627
5.27086,	-12.0488
16.7236,	-10.8942
7.96162,	-11.6364
7.73324,	-11.6655
10.2652,	-11.3823
12.5567,	-11.1808
6.49482,	-11.84
8.37094,	-11.5863
6.4783,	-11.8426
9.30811,	-11.4801
12.3279,	-11.1991
7.90414,	-11.6436
7.45916,	-11.7016
9.255,	-11.4859
9.15638,	-11.4966
8.95125,	-11.5192
7.69755,	-11.6701
20.6453,	-10.6835
15.8049,	-10.9507
6.86166,	-11.7851
10.9482,	-11.3178
9.09482,	-11.5033
7.22809,	-11.733
7.79569,	-11.6574
10.4566,	-11.3638
5.42369,	-12.0202
10.0531,	-11.4031
14.7055,	-11.0228
13.0743,	-11.1404
6.17822,	-11.89
14.753,	-11.0196
12.187,	-11.2106
6.46873,	-11.844
7.72094,	-11.6671
10.7324,	-11.3377
6.39742,	-11.8551
9.90722,	-11.4178
5.64348,	-11.9805
9.93272,	-11.4152
4.17183,	-12.2827
4.70545,	-12.1623
8.62704,	-11.5561
6.64507,	-11.8171
6.47803,	-11.8426
8.53304,	-11.5671
8.01683,	-11.6295
6.70703,	-11.8079
15.2257,	-10.988
7.27687,	-11.7263
11.984,	-11.2274
4.20506,	-12.2747
6.72688,	-11.8049
16.765,	-10.8917
8.51363,	-11.5693
8.70344,	-11.5473
8.82397,	-11.5335
9.12442,	-11.5001
7.49959,	-11.6962
12.301,	-11.2013
6.77833,	-11.7973
6.47001,	-11.8438
10.0885,	-11.3996
12.888,	-11.1547
8.29182,	-11.5957
10.8833,	-11.3238
6.37832,	-11.8581
11.0941,	-11.3046
8.66207,	-11.5521
7.77849,	-11.6597
13.9909,	-11.0726
4.66271,	-12.1714
8.41604,	-11.5809
12.5422,	-11.1819
9.62183,	-11.447
5.67397,	-11.9751
12.6232,	-11.1755
4.8025,	-12.1419
7.71681,	-11.6676
9.96259,	-11.4122
14.9283,	-11.0078
10.2036,	-11.3883
9.46906,	-11.463
10.7046,	-11.3403
10.8801,	-11.3241
6.86732,	-11.7842
12.9493,	-11.15
9.44331,	-11.4657
7.99998,	-11.6316
19.0156,	-10.7658
6.44225,	-11.8481
10.8101,	-11.3305
7.46897,	-11.7003
14.3218,	-11.0492
9.36013,	-11.4746
7.02232,	-11.7619
3.93137,	-12.342
7.67148,	-11.6735
8.99948,	-11.5138
4.46427,	-12.2149
8.79502,	-11.5368
13.1637,	-11.1336
16.4826,	-10.9087
9.44853,	-11.4652
13.0835,	-11.1397
5.63349,	-11.9823
6.40321,	-11.8542
11.6568,	-11.2551
9.0102,	-11.5127
8.2893,	-11.5961
5.86047,	-11.9428
9.8863,	-11.4199
4.0159,	-12.3208
5.38287,	-12.0278
7.59069,	-11.6841
12.451,	-11.1892
13.3485,	-11.1196
8.52405,	-11.5681
8.60853,	-11.5583
11.0751,	-11.3063
8.39571,	-11.5833
10.7131,	-11.3396
5.45856,	-12.0138
6.47882,	-11.8425
14.722,	-11.0217
9.94205,	-11.4142
8.72491,	-11.5448
12.4734,	-11.1874
8.19122,	-11.608
9.07579,	-11.5054
12.3308,	-11.1989
12.2139,	-11.2084
7.70619,	-11.669
7.85214,	-11.6502
14.2516,	-11.0541
5.35795,	-12.0324
6.90571,	-11.7787
4.95028,	-12.1116
6.99092,	-11.7664
7.76833,	-11.661
8.10847,	-11.6181
6.95753,	-11.7712
10.8044,	-11.3311
6.21988,	-11.8833
8.26064,	-11.5995
8.6502,	-11.5534
16.6436,	-10.899
6.64758,	-11.8168
12.5547,	-11.1809
11.4814,	-11.2703
3.99811,	-12.3252
14.4099,	-11.0431
6.47287,	-11.8434
9.84802,	-11.4237
14.771,	-11.0183
9.52224,	-11.4574
6.80147,	-11.7939
4.01033,	-12.3221
10.451,	-11.3643
14.7849,	-11.0174
7.75634,	-11.6625
8.09888,	-11.6193
7.09446,	-11.7517
8.18391,	-11.6088
7.68564,	-11.6717
8.92652,	-11.522
6.9705,	-11.7693
9.89674,	-11.4188
6.11228,	-11.9007
13.3279,	-11.1212
5.39198,	-12.0261
12.1954,	-11.21
13.5818,	-11.1023
5.22588,	-12.0574
10.715,	-11.3394
5.85898,	-11.943
6.75369,	-11.8009
6.5932,	-11.825
14.3088,	-11.0501
13.8292,	-11.0842
9.24549,	-11.4869
9.70878,	-11.438
8.43881,	-11.5782
13.6597,	-11.0966
13.6035,	-11.1007
6.8352,	-11.7889
10.6385,	-11.3465
15.7182,	-10.9562
3.86813,	-12.3582
8.13033,	-11.6154
8.51705,	-11.5689
18.8502,	-10.7745
6.04402,	-11.9119
11.3957,	-11.2778
13.7708,	-11.0885
8.31036,	-11.5935
6.23406,	-11.881
9.51317,	-11.4583
13.2216,	-11.1292
10.822,	-11.3294
8.70671,	-11.5469
5.97352,	-11.9237
14.8023,	-11.0162
10.4979,	-11.3598
11.7157,	-11.2501
5.30106,	-12.0431
8.83384,	-11.5324
9.34817,	-11.4758
8.14883,	-11.6131
7.13529,	-11.746
10.2494,	-11.3838
12.0712,	-11.2202
6.89961,	-11.7796
12.5926,	-11.1779
10.9872,	-11.3143
10.0442,	-11.404
6.33345,	-11.8652
9.64836,	-11.4442
8.19254,	-11.6078
9.08695,	-11.5042
5.67908,	-11.9742
5.18745,	-12.0648
12.9243,	-11.1519
6.50502,	-11.8384
14.999,	-11.003
6.19867,	-11.8867
9.15716,	-11.4965
12.1437,	-11.2142
12.3423,	-11.198
3.92075,	-12.3447
11.9552,	-11.2298
5.81152,	-11.9512
9.88608,	-11.4199
9.94219,	-11.4142
7.14406,	-11.7447
11.6357,	-11.2569
6.01283,	-11.9171
12.2252,	-11.2075
9.84102,	-11.4245
11.499,	-11.2688
10.1013,	-11.3984
5.35643,	-12.0327
18.2761,	-10.8054
5.81418,	-11.9507
10.4809,	-11.3615
6.49614,	-11.8398
6.15814,	-11.8932
10.5163,	-11.3581
7.61892,	-11.6804
9.62492,	-11.4467
5.63004,	-11.9829
6.54323,	-11.8326
15.978,	-10.9398
16.9062,	-10.8833
9.60573,	-11.4487
12.6268,	-11.1752
4.74328,	-12.1543
9.32642,	-11.4782
8.834,	-11.5324
10.253,	-11.3834
9.00051,	-11.5137
5.81092,	-11.9513
10.5833,	-11.3517
12.1141,	-11.2166
5.13233,	-12.0755
4.5002,	-12.2069
10.3014,	-11.3787
5.35404,	-12.0332
10.854,	-11.3265
9.27437,	-11.4838
7.19653,	-11.7374
6.67453,	-11.8127
7.75165,	-11.6631
9.92361,	-11.4161
9.81784,	-11.4268
8.89051,	-11.526
9.82158,	-11.4264
8.38678,	-11.5844
9.19949,	-11.4919
12.3723,	-11.1956
9.58895,	-11.4504
9.33075,	-11.4777
10.2376,	-11.3849
7.09968,	-11.751
15.679,	-10.9587
6.83026,	-11.7897
10.5533,	-11.3546
9.05833,	-11.5073
10.1885,	-11.3898
9.273,	-11.4839
6.54376,	-11.8325
14.7137,	-11.0222
8.99945,	-11.5139
10.2638,	-11.3824
10.1654,	-11.392
12.005,	-11.2257
10.1627,	-11.3923
8.34919,	-11.5889
9.19289,	-11.4926
7.12045,	-11.748
13.5341,	-11.1058
11.4884,	-11.2697
6.9751,	-11.7687
6.79721,	-11.7945
5.93908,	-11.9295
10.9634,	-11.3165
8.48058,	-11.5732
7.85565,	-11.6498
10.1293,	-11.3956
5.19417,	-12.0635
8.32847,	-11.5913
7.38798,	-11.7112
12.0505,	-11.2219
8.0786,	-11.6218
13.6313,	-11.0986
7.23808,	-11.7317
12.115,	-11.2166
4.00223,	-12.3242
7.79571,	-11.6574
9.53841,	-11.4557
4.91093,	-12.1196
11.8874,	-11.2355
15.2858,	-10.9841
8.32942,	-11.5912
9.35457,	-11.4752
8.75205,	-11.5417
14.0667,	-11.0672
5.62015,	-11.9847
9.59576,	-11.4497
3.63805,	-12.4196
6.75687,	-11.8005
10.1522,	-11.3933
9.40496,	-11.4698
8.15466,	-11.6124
11.251,	-11.2906
9.98479,	-11.41
7.15922,	-11.7426
7.35027,	-11.7163
8.82468,	-11.5335
6.01128,	-11.9174
8.27814,	-11.5974
13.3412,	-11.1202
8.20038,	-11.6068
10.9233,	-11.3201
7.00306,	-11.7647
10.5832,	-11.3517
11.5558,	-11.2638
7.81093,	-11.6555
8.38563,	-11.5845
5.61311,	-11.9859
9.97569,	-11.4109
6.97072,	-11.7693
10.4706,	-11.3624
9.82823,	-11.4258
7.35965,	-11.715
8.99503,	-11.5143
4.3242,	-12.2468
11.0501,	-11.3086
9.4951,	-11.4602
4.53721,	-12.1987
13.3166,	-11.122
5.14798,	-12.0724
6.58893,	-11.8256
13.8966,	-11.0794
9.53855,	-11.4557
13.3784,	-11.1174
7.19992,	-11.7369
9.58687,	-11.4506
8.8599,	-11.5295
7.9976,	-11.6319
8.13584,	-11.6147
8.81052,	-11.5351
4.05206,	-12.3118
8.45072,	-11.5768
8.21297,	-11.6053
10.3135,	-11.3776
6.40064,	-11.8546
6.44778,	-11.8473
9.95813,	-11.4126
14.0309,	-11.0698
13.0913,	-11.1391
3.94818,	-12.3378
7.23245,	-11.7324
11.2165,	-11.2936
4.05806,	-12.3103
11.3966,	-11.2777
7.08561,	-11.753
15.5465,	-10.9672
6.68922,	-11.8105
12.0246,	-11.2241
10.0292,	-11.4055
8.19743,	-11.6072
6.15972,	-11.893
6.98877,	-11.7667
10.3053,	-11.3784
5.1429,	-12.0734
15.8041,	-10.9507
6.80397,	-11.7935
7.07014,	-11.7551
9.82272,	-11.4263
10.2798,	-11.3808
12.2428,	-11.2061
9.3173,	-11.4791
10.8282,	-11.3289
12.6823,	-11.1708
11.545,	-11.2648
8.97738,	-11.5163
6.13711,	-11.8967
9.67219,	-11.4418
9.41036,	-11.4692
8.6853,	-11.5494
18.1566,	-10.812
13.1281,	-11.1363
10.423,	-11.367
5.61646,	-11.9853
9.84191,	-11.4244
11.7805,	-11.2446
11.6073,	-11.2594
7.26134,	-11.7285
7.77135,	-11.6606
5.68664,	-11.9729
4.74566,	-12.1538
11.9607,	-11.2294
7.98142,	-11.6339
8.86531,	-11.5289
9.22654,	-11.4889
3.92268,	-12.3442
7.6984,	-11.67
9.89829,	-11.4187
6.51322,	-11.8372
14.7571,	-11.0193
6.50923,	-11.8378
11.2731,	-11.2886
11.1467,	-11.2999
12.5722,	-11.1795
13.2183,	-11.1294
7.53203,	-11.6919
7.38908,	-11.711
7.34516,	-11.717
10.3884,	-11.3703
7.52665,	-11.6926
5.53535,	-11.9999
12.1847,	-11.2108
3.73655,	-12.3929
6.03605,	-11.9133
9.39106,	-11.4713
14.135,	-11.0624
8.52798,	-11.5677
7.39313,	-11.7105
5.40462,	-12.0238
11.5481,	-11.2645
11.8461,	-11.239
