lambda,	weight
6.13614,	-11.8968
9.24441,	-11.487
5.22488,	-12.0576
12.9261,	-11.1518
10.2939,	-11.3795
4.95149,	-12.1113
8.49436,	-11.5716
6.2033,	-11.8859
11.9957,	-11.2265
14.4541,	-11.04
6.68915,	-11.8105
5.45047,	-12.0153
4.66398,	-12.1711
7.65634,	-11.6755
8.98657,	-11.5153
14.4262,	-11.042
4.614,	-12.1819
7.9066,	-11.6433
5.35124,	-12.0337
8.90024,	-11.5249
11.7493,	-11.2472
10.737,	-11.3373
8.6145,	-11.5576
13.1493,	-11.1346
10.2512,	-11.3836
8.38293,	-11.5848
8.41253,	-11.5813
8.56741,	-11.5631
7.7961,	-11.6574
6.53254,	-11.8342
5.64278,	-11.9806
6.85549,	-11.786
5.42935,	-12.0192
8.16015,	-11.6118
3.91833,	-12.3453
6.53905,	-11.8332
7.48594,	-11.698
7.68512,	-11.6717
6.92445,	-11.776
4.77911,	-12.1468
5.32988,	-12.0377
12.4543,	-11.189
8.26179,	-11.5994
8.14093,	-11.6141
18.3369,	-10.8021
18.5303,	-10.7916
5.7241,	-11.9663
8.95479,	-11.5188
6.36802,	-11.8597
9.17038,	-11.495
13.4725,	-11.1104
3.53332,	-12.4488
19.4252,	-10.7444
12.1152,	-11.2166
14.6699,	-11.0252
9.65896,	-11.4431
10.1681,	-11.3918
8.41741,	-11.5807
9.92092,	-11.4164
8.94821,	-11.5196
12.2825,	-11.2028
7.42544,	-11.7061
7.49242,	-11.6971
12.4609,	-11.1884
9.65941,	-11.4431
12.2421,	-11.2061
12.6403,	-11.1741
8.93157,	-11.5214
18.0095,	-10.8201
8.30385,	-11.5943
8.09482,	-11.6198
10.3648,	-11.3726
11.6992,	-11.2515
13.5842,	-11.1021
9.80853,	-11.4278
8.34512,	-11.5893
9.46681,	-11.4632
9.69803,	-11.4391
5.86506,	-11.942
10.642,	-11.3462
10.9978,	-11.3133
15.9189,	-10.9435
6.22378,	-11.8826
10.2217,	-11.3865
7.12319,	-11.7477
10.3548,	-11.3736
5.53146,	-12.0006
8.88485,	-11.5267
8.26206,	-11.5993
11.2121,	-11.294
12.0815,	-11.2193
5.95871,	-11.9262
8.8212,	-11.5339
9.49465,	-11.4603
6.6871,	-11.8108
11.1188,	-11.3024
6.25251,	-11.878
10.4748,	-11.362
11.7685,	-11.2456
7.34126,	-11.7175
8.11008,	-11.6179
5.68017,	-11.974
11.3113,	-11.2852
6.25962,	-11.8769
10.0347,	-11.405
20.1973,	-10.7055
14.5808,	-11.0313
11.183,	-11.2966
12.0865,	-11.2189
8.07946,	-11.6217
11.6267,	-11.2577
8.54373,	-11.5658
5.24431,	-12.0539
9.64151,	-11.4449
3.84205,	-12.365
7.66289,	-11.6746
8.21665,	-11.6049
19.0023,	-10.7665
7.90669,	-11.6433
5.97389,	-11.9236
8.0148,	-11.6297
8.70376,	-11.5473
13.1049,	-11.138
8.86278,	-11.5292
10.7471,	-11.3364
18.7411,	-10.7803
14.4306,	-11.0417
14.7066,	-11.0227
4.72449,	-12.1583
11.3121,	-11.2851
11.2875,	-11.2873
10.0136,	-11.4071
7.62744,	-11.6793
12.9783,	-11.1477
9.00058,	-11.5137
17.5458,	-10.8462
8.91382,	-11.5234
11.836,	-11.2399
8.6686,	-11.5513
7.26286,	-11.7282
4.56954,	-12.1916
13.3539,	-11.1192
6.24432,	-11.8793
9.76979,	-11.4317
11.9963,	-11.2264
6.17968,	-11.8897
11.2232,	-11.293
6.25765,	-11.8772
6.5396,	-11.8331
7.66037,	-11.675
7.04501,	-11.7587
9.37572,	-11.4729
8.59246,	-11.5601
7.93107,	-11.6402
3.38784,	-12.4908
8.44547,	-11.5774
9.98096,	-11.4103
5.03281,	-12.095
7.68817,	-11.6713
9.15659,	-11.4965
5.69606,	-11.9712
10.7286,	-11.3381
4.73894,	-12.1552
5.01934,	-12.0977
